test_image,expected,predicted,status,method,similarity
E:\Finalbefmid\metrics\evaluation\test_images\should_match\003bd64f852f6085_resized.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\003bd64f852f6085_cropped.jpg,1,1,[TP],clip,89.28
E:\Finalbefmid\metrics\evaluation\test_images\should_match\003bd64f852f6085_compressed.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\003bd64f852f6085_color.jpg,1,1,[TP],whash,96.88
E:\Finalbefmid\metrics\evaluation\test_images\should_match\003bd64f852f6085_watermark.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\004430d5b7b6f13f_resized.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\004430d5b7b6f13f_cropped.jpg,1,1,[TP],clip,93.46
E:\Finalbefmid\metrics\evaluation\test_images\should_match\004430d5b7b6f13f_compressed.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\004430d5b7b6f13f_color.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\004430d5b7b6f13f_watermark.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\0044c22a780ca857_resized.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\0044c22a780ca857_cropped.jpg,1,1,[TP],clip,94.43
E:\Finalbefmid\metrics\evaluation\test_images\should_match\0044c22a780ca857_compressed.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\0044c22a780ca857_color.jpg,1,1,[TP],whash,96.88
E:\Finalbefmid\metrics\evaluation\test_images\should_match\0044c22a780ca857_watermark.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\00536561747f4148_resized.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\00536561747f4148_cropped.jpg,1,1,[TP],clip,92.92
E:\Finalbefmid\metrics\evaluation\test_images\should_match\00536561747f4148_compressed.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\00536561747f4148_color.jpg,1,1,[TP],phash,96.88
E:\Finalbefmid\metrics\evaluation\test_images\should_match\00536561747f4148_watermark.jpg,1,1,[TP],phash,100.0
E:\Finalbefmid\metrics\evaluation\test_images\should_match\0036e0cd3798092e_resized.jpg,1,1,[TP],phash,100.0
