original,test_image,transform,expected
E:\Finalbefmid\images\003bd64f852f6085.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\003bd64f852f6085_resized.jpg,resized,1
E:\Finalbefmid\images\003bd64f852f6085.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\003bd64f852f6085_cropped.jpg,cropped,1
E:\Finalbefmid\images\003bd64f852f6085.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\003bd64f852f6085_compressed.jpg,compressed,1
E:\Finalbefmid\images\003bd64f852f6085.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\003bd64f852f6085_color.jpg,color,1
E:\Finalbefmid\images\003bd64f852f6085.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\003bd64f852f6085_watermark.jpg,watermark,1
E:\Finalbefmid\images\004430d5b7b6f13f.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\004430d5b7b6f13f_resized.jpg,resized,1
E:\Finalbefmid\images\004430d5b7b6f13f.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\004430d5b7b6f13f_cropped.jpg,cropped,1
E:\Finalbefmid\images\004430d5b7b6f13f.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\004430d5b7b6f13f_compressed.jpg,compressed,1
E:\Finalbefmid\images\004430d5b7b6f13f.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\004430d5b7b6f13f_color.jpg,color,1
E:\Finalbefmid\images\004430d5b7b6f13f.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\004430d5b7b6f13f_watermark.jpg,watermark,1
E:\Finalbefmid\images\0044c22a780ca857.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0044c22a780ca857_resized.jpg,resized,1
E:\Finalbefmid\images\0044c22a780ca857.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0044c22a780ca857_cropped.jpg,cropped,1
E:\Finalbefmid\images\0044c22a780ca857.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0044c22a780ca857_compressed.jpg,compressed,1
E:\Finalbefmid\images\0044c22a780ca857.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0044c22a780ca857_color.jpg,color,1
E:\Finalbefmid\images\0044c22a780ca857.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0044c22a780ca857_watermark.jpg,watermark,1
E:\Finalbefmid\images\00536561747f4148.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00536561747f4148_resized.jpg,resized,1
E:\Finalbefmid\images\00536561747f4148.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00536561747f4148_cropped.jpg,cropped,1
E:\Finalbefmid\images\00536561747f4148.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00536561747f4148_compressed.jpg,compressed,1
E:\Finalbefmid\images\00536561747f4148.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00536561747f4148_color.jpg,color,1
E:\Finalbefmid\images\00536561747f4148.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00536561747f4148_watermark.jpg,watermark,1
E:\Finalbefmid\images\0036e0cd3798092e.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0036e0cd3798092e_resized.jpg,resized,1
E:\Finalbefmid\images\0036e0cd3798092e.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0036e0cd3798092e_cropped.jpg,cropped,1
E:\Finalbefmid\images\0036e0cd3798092e.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0036e0cd3798092e_compressed.jpg,compressed,1
E:\Finalbefmid\images\0036e0cd3798092e.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0036e0cd3798092e_color.jpg,color,1
E:\Finalbefmid\images\0036e0cd3798092e.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0036e0cd3798092e_watermark.jpg,watermark,1
E:\Finalbefmid\images\0017f79bb4890025.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0017f79bb4890025_resized.jpg,resized,1
E:\Finalbefmid\images\0017f79bb4890025.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0017f79bb4890025_cropped.jpg,cropped,1
E:\Finalbefmid\images\0017f79bb4890025.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0017f79bb4890025_compressed.jpg,compressed,1
E:\Finalbefmid\images\0017f79bb4890025.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0017f79bb4890025_color.jpg,color,1
E:\Finalbefmid\images\0017f79bb4890025.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0017f79bb4890025_watermark.jpg,watermark,1
E:\Finalbefmid\images\0055c93fad976db5.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0055c93fad976db5_resized.jpg,resized,1
E:\Finalbefmid\images\0055c93fad976db5.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0055c93fad976db5_cropped.jpg,cropped,1
E:\Finalbefmid\images\0055c93fad976db5.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0055c93fad976db5_compressed.jpg,compressed,1
E:\Finalbefmid\images\0055c93fad976db5.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0055c93fad976db5_color.jpg,color,1
E:\Finalbefmid\images\0055c93fad976db5.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0055c93fad976db5_watermark.jpg,watermark,1
E:\Finalbefmid\images\00631c1b3b472f49.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00631c1b3b472f49_resized.jpg,resized,1
E:\Finalbefmid\images\00631c1b3b472f49.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00631c1b3b472f49_cropped.jpg,cropped,1
E:\Finalbefmid\images\00631c1b3b472f49.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00631c1b3b472f49_compressed.jpg,compressed,1
E:\Finalbefmid\images\00631c1b3b472f49.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00631c1b3b472f49_color.jpg,color,1
E:\Finalbefmid\images\00631c1b3b472f49.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00631c1b3b472f49_watermark.jpg,watermark,1
E:\Finalbefmid\images\0036a718a66b0d7f.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0036a718a66b0d7f_resized.jpg,resized,1
E:\Finalbefmid\images\0036a718a66b0d7f.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0036a718a66b0d7f_cropped.jpg,cropped,1
E:\Finalbefmid\images\0036a718a66b0d7f.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0036a718a66b0d7f_compressed.jpg,compressed,1
E:\Finalbefmid\images\0036a718a66b0d7f.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0036a718a66b0d7f_color.jpg,color,1
E:\Finalbefmid\images\0036a718a66b0d7f.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\0036a718a66b0d7f_watermark.jpg,watermark,1
E:\Finalbefmid\images\000df7dd17c907b8.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\000df7dd17c907b8_resized.jpg,resized,1
E:\Finalbefmid\images\000df7dd17c907b8.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\000df7dd17c907b8_cropped.jpg,cropped,1
E:\Finalbefmid\images\000df7dd17c907b8.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\000df7dd17c907b8_compressed.jpg,compressed,1
E:\Finalbefmid\images\000df7dd17c907b8.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\000df7dd17c907b8_color.jpg,color,1
E:\Finalbefmid\images\000df7dd17c907b8.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\000df7dd17c907b8_watermark.jpg,watermark,1
E:\Finalbefmid\images\001632fab948e3ca.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\001632fab948e3ca_resized.jpg,resized,1
E:\Finalbefmid\images\001632fab948e3ca.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\001632fab948e3ca_cropped.jpg,cropped,1
E:\Finalbefmid\images\001632fab948e3ca.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\001632fab948e3ca_compressed.jpg,compressed,1
E:\Finalbefmid\images\001632fab948e3ca.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\001632fab948e3ca_color.jpg,color,1
E:\Finalbefmid\images\001632fab948e3ca.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\001632fab948e3ca_watermark.jpg,watermark,1
E:\Finalbefmid\images\006c6778da98b3a2.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\006c6778da98b3a2_resized.jpg,resized,1
E:\Finalbefmid\images\006c6778da98b3a2.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\006c6778da98b3a2_cropped.jpg,cropped,1
E:\Finalbefmid\images\006c6778da98b3a2.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\006c6778da98b3a2_compressed.jpg,compressed,1
E:\Finalbefmid\images\006c6778da98b3a2.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\006c6778da98b3a2_color.jpg,color,1
E:\Finalbefmid\images\006c6778da98b3a2.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\006c6778da98b3a2_watermark.jpg,watermark,1
E:\Finalbefmid\images\00414d9b37399c9e.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00414d9b37399c9e_resized.jpg,resized,1
E:\Finalbefmid\images\00414d9b37399c9e.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00414d9b37399c9e_cropped.jpg,cropped,1
