original,test_image,transform,expected
E:\Finalbefmid\images\002332bfb8ffbb96.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\002332bfb8ffbb96_resized.jpg,resized,1
E:\Finalbefmid\images\002332bfb8ffbb96.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\002332bfb8ffbb96_cropped.jpg,cropped,1
E:\Finalbefmid\images\002332bfb8ffbb96.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\002332bfb8ffbb96_compressed.jpg,compressed,1
E:\Finalbefmid\images\002332bfb8ffbb96.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\002332bfb8ffbb96_color.jpg,color,1
E:\Finalbefmid\images\002332bfb8ffbb96.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\002332bfb8ffbb96_watermark.jpg,watermark,1
E:\Finalbefmid\images\000ecc90577c9ebe.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\000ecc90577c9ebe_resized.jpg,resized,1
E:\Finalbefmid\images\000ecc90577c9ebe.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\000ecc90577c9ebe_cropped.jpg,cropped,1
E:\Finalbefmid\images\000ecc90577c9ebe.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\000ecc90577c9ebe_compressed.jpg,compressed,1
E:\Finalbefmid\images\000ecc90577c9ebe.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\000ecc90577c9ebe_color.jpg,color,1
E:\Finalbefmid\images\000ecc90577c9ebe.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\000ecc90577c9ebe_watermark.jpg,watermark,1
E:\Finalbefmid\images\00773015dbe1bde9.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00773015dbe1bde9_resized.jpg,resized,1
E:\Finalbefmid\images\00773015dbe1bde9.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00773015dbe1bde9_cropped.jpg,cropped,1
E:\Finalbefmid\images\00773015dbe1bde9.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00773015dbe1bde9_compressed.jpg,compressed,1
E:\Finalbefmid\images\00773015dbe1bde9.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00773015dbe1bde9_color.jpg,color,1
E:\Finalbefmid\images\00773015dbe1bde9.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\00773015dbe1bde9_watermark.jpg,watermark,1
E:\Finalbefmid\images\002b7b3ff433372f.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\002b7b3ff433372f_resized.jpg,resized,1
E:\Finalbefmid\images\002b7b3ff433372f.png,E:\Finalbefmid\metrics\evaluation\test_images\should_match\002b7b3ff433372f_cropped.jpg,cropped,1
