original,test_image,transform,expected
NONE,E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_000.jpg,unique,0
NONE,E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_001.jpg,unique,0
NONE,E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_002.jpg,unique,0
NONE,E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_003.jpg,unique,0
NONE,E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_004.jpg,unique,0
NONE,E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_005.jpg,unique,0
NONE,E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_006.jpg,unique,0
NONE,E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_007.jpg,unique,0
NONE,E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_008.jpg,unique,0
NONE,E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_009.jpg,unique,0
NONE,E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_010.jpg,unique,0
NONE,E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_011.jpg,unique,0
NONE,E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_012.jpg,unique,0
NONE,E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_013.jpg,unique,0
NONE,E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_014.jpg,unique,0
NONE,E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_015.jpg,unique,0
NONE,E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_016.jpg,unique,0
NONE,E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_017.jpg,unique,0
NONE,E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_018.jpg,unique,0
NONE,E:\Finalbefmid\metrics\evaluation\test_images\should_not_match\synthetic_019.jpg,unique,0
